codmuer,anio,provre,count()
O000,2010,66,1
O001,2006,90,1
O001,2007,14,2
O009,2006,6,4
O009,2006,54,2
O009,2006,82,1
O009,2006,90,1
O009,2007,54,1
O009,2007,66,1
O009,2008,6,2
O009,2008,22,1
O009,2008,54,1
O009,2010,6,4
O009,2010,18,1
O009,2010,22,1
O009,2010,58,1
O019,2008,6,1
O019,2008,22,1
O019,2008,86,1
O019,2010,6,1
O020,2006,14,1
O021,2006,6,2
O021,2006,14,1
O021,2006,54,1
O021,2006,74,1
O021,2007,6,2
O021,2007,14,1
O021,2007,30,1
O021,2007,54,1
O021,2007,66,2
O021,2007,78,1
O021,2007,90,2
O021,2008,6,1
O021,2008,38,1
O021,2010,42,1
O021,2010,50,1
O021,2010,54,2
O021,2010,82,1
O021,2010,86,1
O021,2010,90,1
O029,2006,74,1
O030,2006,70,2
O030,2008,22,1
O031,2007,70,1
O035,2006,6,1
O035,2007,6,1
O035,2007,54,1
O036,2007,70,1
O036,2008,30,1
O038,2007,6,1
O038,2008,54,1
O039,2006,54,1
O039,2010,46,1
O039,2010,82,1
O050,2006,6,2
O050,2007,2,1
O050,2007,26,1
O050,2007,50,2
O050,2007,70,1
O050,2008,6,2
O050,2008,26,1
O050,2008,50,2
O050,2010,34,1
O050,2010,50,1
O050,2010,66,1
O050,2010,70,1
O053,2006,70,1
O053,2008,6,1
O054,2008,6,1
O054,2010,6,1
O055,2006,6,15
O055,2006,26,1
O055,2006,34,3
O055,2006,46,1
O055,2006,70,1
O055,2007,6,17
O055,2007,34,1
O055,2007,58,1
O055,2007,70,1
O055,2007,99,1
O055,2008,6,12
O055,2010,2,2
O055,2010,6,20
O056,2010,6,2
O058,2006,66,1
O058,2007,10,2
O058,2007,34,1
O058,2008,14,2
O058,2008,90,2
O059,2006,6,1
O059,2006,14,1
O059,2010,14,1
O059,2010,34,1
O060,2006,6,1
O060,2006,18,1
O060,2006,22,1
O060,2006,74,2
O060,2007,6,1
O060,2007,58,1
O060,2007,74,1
O060,2007,82,1
O060,2008,22,1
O060,2008,34,1
O060,2008,42,1
O060,2008,54,2
O060,2008,86,1
O060,2010,6,1
O060,2010,34,3
O060,2010,98,1
O061,2006,38,1
O062,2007,66,1
O063,2006,22,1
O063,2008,6,1
O063,2008,90,1
O063,2010,6,1
O064,2007,86,1
O065,2006,2,1
O065,2006,6,3
O065,2006,22,4
O065,2006,30,1
O065,2006,34,1
O065,2006,38,8
O065,2006,54,1
O065,2006,66,4
O065,2006,82,3
O065,2006,86,1
O065,2007,10,1
O065,2007,30,1
O065,2007,34,3
O065,2007,38,2
O065,2007,46,3
O065,2007,62,1
O065,2007,66,3
O065,2007,86,2
O065,2007,90,2
O065,2008,22,3
O065,2008,30,3
O065,2008,34,1
O065,2008,38,2
O065,2008,54,1
O065,2008,82,1
O065,2008,86,3
O065,2010,22,1
O065,2010,38,2
O065,2010,66,1
O065,2010,86,1
O065,2010,90,2
O066,2006,90,2
O066,2010,90,1
O068,2006,14,1
O068,2007,50,1
O068,2008,2,1
O068,2008,82,1
O069,2006,6,1
O069,2006,10,1
O069,2006,14,2
O069,2006,34,1
O069,2006,82,2
O069,2006,90,2
O069,2007,6,1
O069,2008,6,2
O069,2008,54,1
O069,2010,6,1
O069,2010,14,2
O069,2010,38,1
O079,2010,66,1
O100,2006,74,1
O100,2006,90,1
O100,2008,66,1
O102,2006,38,1
O109,2007,54,1
O109,2008,14,1
O109,2008,18,1
O109,2010,82,1
O13X,2006,6,1
O13X,2007,6,1
O13X,2008,6,1
O13X,2010,6,1
O140,2006,66,1
O140,2006,90,1
O141,2006,6,5
O141,2006,34,1
O141,2006,66,1
O141,2007,6,2
O141,2007,26,1
O141,2007,30,1
O141,2007,38,1
O141,2007,50,1
O141,2007,74,1
O141,2007,82,3
O141,2008,6,1
O141,2008,18,2
O141,2008,22,2
O141,2008,38,1
O141,2008,82,1
O141,2008,90,1
O141,2010,6,4
O141,2010,14,1
O141,2010,22,1
O141,2010,34,1
O141,2010,38,1
O141,2010,58,1
O141,2010,66,1
O149,2006,6,2
O149,2006,22,1
O149,2006,26,1
O149,2006,54,2
O149,2007,6,2
O149,2007,22,1
O149,2007,82,1
O149,2008,6,2
O149,2008,62,1
O149,2008,74,1
O149,2008,86,1
O149,2010,30,1
O149,2010,54,1
O150,2006,22,1
O150,2006,42,1
O150,2007,6,3
O150,2007,58,1
O150,2007,90,1
O150,2008,6,1
O150,2008,38,1
O151,2006,6,1
O151,2007,30,1
O151,2007,54,1
O151,2010,6,1
O151,2010,34,1
O151,2010,66,1
O152,2006,6,1
O152,2006,34,1
O152,2006,38,1
O152,2006,50,1
O152,2006,62,1
O152,2007,6,1
O152,2007,22,1
O152,2007,34,2
O152,2008,66,1
O152,2010,6,1
O159,2006,2,1
O159,2006,6,6
O159,2006,10,1
O159,2006,22,2
O159,2006,38,1
O159,2006,54,1
O159,2007,6,6
O159,2007,10,1
O159,2007,22,1
O159,2007,54,1
O159,2007,82,1
O159,2007,86,1
O159,2007,90,1
O159,2008,6,8
O159,2008,14,1
O159,2008,18,2
O159,2008,22,2
O159,2008,34,1
O159,2008,38,2
O159,2008,54,3
O159,2008,62,1
O159,2008,66,2
O159,2008,82,1
O159,2008,86,2
O159,2010,6,6
O159,2010,18,2
O159,2010,22,2
O159,2010,30,1
O159,2010,34,2
O159,2010,46,1
O159,2010,54,1
O159,2010,58,1
O16X,2006,34,2
O16X,2007,34,1
O16X,2007,82,2
O16X,2010,6,1
O16X,2010,18,1
O16X,2010,82,1
O209,2007,90,1
O211,2008,66,1
O212,2007,6,1
O220,2007,70,1
O228,2006,6,1
O229,2008,6,1
O234,2006,6,1
O234,2006,30,1
O235,2006,6,1
O235,2008,6,1
O235,2010,50,1
O239,2008,26,1
O239,2008,82,1
O244,2010,14,1
O249,2006,82,1
O249,2007,6,1
O25X,2007,90,1
O25X,2010,70,1
O266,2006,6,1
O266,2006,22,1
O266,2006,90,2
O266,2007,6,1
O266,2007,22,1
O266,2008,6,2
O266,2010,6,1
O266,2010,22,1
O268,2006,22,1
O269,2006,86,2
O269,2007,2,1
O269,2007,66,1
O269,2008,86,1
O269,2008,90,1
O363,2008,86,1
O364,2006,22,1
O364,2006,82,1
O364,2007,2,1
O364,2007,22,3
O364,2007,82,1
O364,2008,14,1
O364,2008,22,1
O364,2008,34,1
O364,2010,22,1
O369,2007,86,1
O411,2006,82,1
O411,2006,90,1
O411,2008,10,1
O411,2008,14,1
O411,2008,38,1
O411,2008,66,1
O411,2010,14,1
O411,2010,82,1
O420,2006,50,1
O429,2006,6,1
O429,2008,22,1
O429,2008,90,1
O431,2006,38,2
O431,2010,42,1
O440,2010,14,1
O440,2010,18,1
O441,2006,6,1
O441,2006,38,1
O441,2006,42,1
O441,2007,34,1
O441,2007,82,1
O441,2008,14,2
O441,2008,38,1
O441,2008,74,1
O441,2008,82,1
O441,2010,6,2
O441,2010,82,1
O450,2006,54,1
O450,2006,66,1
O450,2007,6,1
O450,2007,10,1
O450,2007,18,1
O450,2008,34,1
O450,2008,54,1
O458,2006,70,1
O459,2006,6,3
O459,2006,22,1
O459,2007,18,2
O459,2007,70,1
O459,2007,82,1
O459,2008,6,1
O459,2008,14,1
O459,2008,34,1
O459,2008,86,1
O459,2010,6,1
O459,2010,54,2
O459,2010,70,1
O460,2008,6,1
O469,2006,2,1
O469,2007,82,1
O60X,2006,6,1
O60X,2008,6,1
O60X,2010,26,1
O622,2006,2,1
O622,2006,6,1
O622,2006,26,1
O622,2007,6,1
O622,2007,66,1
O622,2007,70,1
O622,2007,86,1
O622,2008,6,5
O622,2008,18,3
O622,2008,34,1
O622,2008,82,3
O622,2010,2,1
O622,2010,6,5
O622,2010,82,1
O670,2008,6,1
O670,2010,18,1
O670,2010,34,1
O681,2010,14,1
O711,2006,6,1
O711,2006,18,1
O711,2006,54,1
O711,2007,2,1
O711,2007,6,3
O711,2008,2,1
O711,2008,34,1
O711,2010,6,3
O711,2010,22,1
O712,2010,70,1
O713,2006,22,1
O718,2010,82,1
O719,2006,86,1
O720,2006,6,4
O720,2006,38,1
O720,2006,46,1
O720,2006,50,1
O720,2006,78,1
O720,2006,82,1
O720,2007,2,1
O720,2007,6,4
O720,2007,18,1
O720,2007,34,1
O720,2007,90,1
O720,2008,6,3
O720,2008,30,1
O720,2008,38,1
O720,2008,50,1
O720,2008,58,1
O720,2008,82,1
O720,2008,90,1
O720,2010,6,7
O720,2010,14,2
O720,2010,30,1
O720,2010,50,1
O721,2006,6,1
O721,2006,22,1
O721,2006,54,3
O721,2006,78,1
O721,2006,82,1
O721,2006,90,1
O721,2007,2,1
O721,2007,6,2
O721,2007,18,1
O721,2008,6,1
O721,2008,18,1
O721,2008,30,1
O721,2008,38,1
O721,2008,54,1
O721,2008,66,1
O721,2008,82,1
O721,2008,86,1
O721,2010,6,3
O721,2010,14,3
O721,2010,22,1
O721,2010,34,1
O721,2010,66,1
O721,2010,74,1
O722,2006,58,1
O722,2007,90,1
O722,2010,34,2
O723,2006,6,2
O723,2006,10,1
O723,2006,18,2
O723,2006,22,1
O723,2006,38,1
O723,2006,74,1
O723,2006,86,1
O723,2006,90,1
O723,2007,18,1
O723,2007,74,1
O723,2008,6,1
O723,2008,14,2
O723,2008,26,1
O723,2010,6,3
O723,2010,22,2
O723,2010,26,1
O723,2010,54,2
O723,2010,66,1
O723,2010,98,1
O730,2006,6,5
O730,2006,14,1
O730,2007,6,1
O730,2010,6,1
O730,2010,66,1
O730,2010,74,1
O730,2010,86,1
O731,2010,34,1
O744,2006,30,1
O744,2007,6,1
O749,2010,6,1
O753,2006,30,1
O753,2007,46,1
O754,2006,38,1
O754,2007,22,1
O754,2007,62,1
O754,2010,54,1
O754,2010,90,2
O757,2008,6,1
O758,2006,82,1
O759,2006,82,3
O759,2007,6,1
O759,2007,14,1
O759,2007,90,1
O759,2008,6,3
O759,2008,14,2
O759,2008,82,1
O85X,2006,6,7
O85X,2006,14,1
O85X,2006,18,2
O85X,2006,22,1
O85X,2006,30,3
O85X,2006,38,1
O85X,2006,46,1
O85X,2006,50,1
O85X,2006,54,1
O85X,2006,58,1
O85X,2006,62,1
O85X,2006,66,1
O85X,2007,6,6
O85X,2007,14,1
O85X,2007,22,2
O85X,2007,34,1
O85X,2007,50,1
O85X,2007,54,1
O85X,2007,66,1
O85X,2007,82,1
O85X,2007,86,1
O85X,2007,90,2
O85X,2008,2,1
O85X,2008,6,3
O85X,2008,18,1
O85X,2008,22,1
O85X,2008,30,2
O85X,2008,34,1
O85X,2008,66,3
O85X,2008,86,1
O85X,2008,90,2
O85X,2010,6,9
O85X,2010,10,1
O85X,2010,18,3
O85X,2010,34,3
O85X,2010,42,1
O85X,2010,54,4
O85X,2010,62,1
O85X,2010,66,2
O860,2006,22,1
O860,2006,34,1
O860,2007,34,3
O860,2007,70,1
O860,2008,6,1
O860,2008,34,1
O860,2008,98,1
O860,2010,58,1
O862,2007,54,1
O862,2008,50,1
O862,2010,78,1
O864,2008,6,1
O868,2006,6,1
O868,2007,2,1
O868,2010,6,2
O871,2006,6,1
O871,2007,90,1
O873,2008,66,1
O879,2008,99,1
O880,2008,94,1
O881,2006,30,1
O881,2006,82,1
O881,2007,2,2
O881,2007,6,1
O881,2007,66,1
O881,2008,2,1
O881,2008,6,2
O881,2008,58,1
O881,2008,82,1
O881,2010,6,1
O881,2010,30,1
O882,2006,22,1
O882,2006,26,1
O882,2006,30,1
O882,2007,2,1
O882,2007,6,1
O882,2007,30,1
O882,2007,42,1
O882,2007,46,2
O882,2007,54,1
O882,2007,58,2
O882,2007,82,2
O882,2008,10,1
O882,2008,14,1
O882,2008,30,1
O882,2008,42,1
O882,2008,82,1
O882,2010,6,3
O882,2010,30,1
O888,2006,6,1
O888,2006,90,2
O888,2007,90,1
O890,2008,6,1
O900,2010,14,1
O903,2006,54,2
O903,2007,6,3
O903,2007,90,1
O903,2008,6,1
O903,2008,34,1
O903,2008,66,1
O903,2010,54,1
O908,2006,90,1
O908,2007,90,1
O908,2008,34,1
O909,2006,22,2
O909,2006,82,2
O909,2006,86,2
O909,2008,6,1
O95X,2006,6,6
O95X,2006,14,1
O95X,2006,30,3
O95X,2006,54,1
O95X,2006,66,1
O95X,2007,6,3
O95X,2007,22,1
O95X,2007,58,1
O95X,2007,62,1
O95X,2007,66,2
O95X,2007,90,1
O95X,2008,6,10
O95X,2008,14,2
O95X,2008,18,1
O95X,2008,46,1
O95X,2008,86,1
O95X,2008,90,1
O95X,2010,6,10
O95X,2010,22,3
O95X,2010,30,1
O95X,2010,50,1
O95X,2010,90,2
O96X,2006,2,1
O96X,2006,6,1
O96X,2006,22,1
O96X,2006,30,3
O96X,2006,34,2
O96X,2006,50,3
O96X,2006,70,2
O96X,2007,6,1
O96X,2007,18,5
O96X,2007,22,6
O96X,2007,30,5
O96X,2007,34,3
O96X,2007,50,2
O96X,2007,58,1
O96X,2007,70,5
O96X,2007,74,1
O96X,2007,82,1
O96X,2008,2,1
O96X,2008,18,4
O96X,2008,22,6
O96X,2008,26,1
O96X,2008,30,2
O96X,2008,34,3
O96X,2008,50,3
O96X,2008,62,1
O96X,2008,66,3
O96X,2008,70,2
O96X,2008,90,1
O96X,2010,6,3
O96X,2010,18,1
O96X,2010,34,1
O96X,2010,54,1
O96X,2010,66,1
O96X,2010,70,1
O980,2006,54,2
O980,2008,22,1
O980,2008,34,1
O980,2008,38,1
O980,2010,6,1
O980,2010,14,1
O980,2010,34,1
O985,2006,54,1
O988,2006,54,1
O988,2007,30,1
O988,2007,50,2
O988,2008,6,1
O988,2008,82,1
O988,2010,6,1
O989,2006,30,1
O989,2007,38,1
O989,2010,14,1
O990,2008,14,1
O990,2010,22,1
O991,2006,50,2
O991,2007,42,1
O991,2008,6,1
O991,2008,54,1
O991,2010,6,2
O991,2010,46,2
O992,2006,6,1
O992,2006,70,2
O992,2007,6,1
O992,2007,50,1
O992,2007,54,1
O992,2010,6,1
O993,2006,6,2
O993,2006,14,2
O993,2006,34,1
O993,2007,6,1
O993,2007,34,1
O993,2007,38,2
O993,2007,54,1
O993,2008,6,1
O993,2008,18,1
O993,2008,26,1
O993,2008,66,1
O993,2008,90,1
O993,2010,22,1
O993,2010,30,1
O993,2010,66,1
O994,2006,2,1
O994,2006,6,2
O994,2006,14,1
O994,2006,18,1
O994,2006,22,2
O994,2006,26,2
O994,2006,46,1
O994,2006,50,2
O994,2006,54,2
O994,2007,6,9
O994,2007,14,1
O994,2007,22,1
O994,2007,42,2
O994,2007,50,3
O994,2007,54,5
O994,2007,82,1
O994,2007,90,1
O994,2008,6,3
O994,2008,14,2
O994,2008,22,1
O994,2008,34,1
O994,2008,46,2
O994,2008,50,4
O994,2008,54,3
O994,2008,78,1
O994,2010,6,5
O994,2010,14,3
O994,2010,18,1
O994,2010,38,1
O994,2010,42,1
O994,2010,46,2
O994,2010,50,6
O994,2010,54,1
O994,2010,82,1
O994,2010,90,1
O995,2006,6,2
O995,2006,34,1
O995,2006,46,2
O995,2006,50,1
O995,2006,54,3
O995,2007,6,4
O995,2007,18,1
O995,2007,30,1
O995,2007,54,2
O995,2007,62,1
O995,2007,66,1
O995,2007,70,1
O995,2008,6,2
O995,2008,22,1
O995,2008,54,4
O995,2008,58,1
O995,2008,66,1
O995,2008,82,1
O995,2010,6,6
O995,2010,14,3
O995,2010,22,1
O995,2010,34,1
O995,2010,50,2
O995,2010,54,2
O995,2010,66,2
O995,2010,70,1
O995,2010,98,1
O996,2006,14,2
O996,2006,22,1
O996,2006,30,1
O996,2006,38,1
O996,2007,6,4
O996,2007,50,1
O996,2008,6,2
O996,2008,26,1
O996,2008,42,1
O996,2008,62,1
O996,2008,66,1
O996,2008,82,2
O996,2008,90,1
O996,2010,2,1
O996,2010,6,6
O996,2010,14,1
O996,2010,18,1
O996,2010,50,1
O996,2010,54,2
O996,2010,74,1
O996,2010,82,1
O998,2006,2,1
O998,2006,6,3
O998,2006,14,1
O998,2006,18,2
O998,2006,22,1
O998,2006,50,2
O998,2006,70,2
O998,2006,82,2
O998,2006,90,2
O998,2007,2,3
O998,2007,6,8
O998,2007,14,2
O998,2007,18,2
O998,2007,42,2
O998,2007,46,2
O998,2007,50,1
O998,2007,66,4
O998,2007,70,1
O998,2007,74,1
O998,2008,6,2
O998,2008,10,1
O998,2008,14,1
O998,2008,22,1
O998,2008,38,1
O998,2008,42,1
O998,2008,50,1
O998,2008,70,1
O998,2010,6,8
O998,2010,14,4
O998,2010,18,1
O998,2010,26,1
O998,2010,46,1
O998,2010,50,1
O998,2010,54,1
O998,2010,66,2
O998,2010,70,1
O998,2010,78,1
O998,2010,82,4
