anio,cod_prov,provincia,Aborto_P,T_Hipert_P,T_Placenta_P,Otras_directas_P,Hemorragia_post_P,Sepsis_y_O_P,Enf_por_VIH_P,Otras_ind_P
2010,02,Ciud. Aut. de  Buenos Aires,1.08,2.44,9.09,1.92,0.00,0.00,40.00,3.39
2010,06,Buenos Aires,32.26,39.02,36.36,36.54,23.33,23.81,60.00,16.95
2010,10,Catamarca,1.08,2.44,0.00,0.00,3.33,0.00,0.00,0.00
2010,14,Córdoba,6.45,0.00,0.00,1.92,3.33,2.38,0.00,10.17
2010,18,Corrientes,1.08,0.00,0.00,1.92,6.67,4.76,0.00,5.08
2010,22,Chaco,6.45,9.76,9.09,7.69,6.67,11.90,0.00,6.78
2010,26,Chubut,1.08,2.44,0.00,0.00,3.33,2.38,0.00,3.39
2010,30,Entre Ríos,1.08,0.00,0.00,11.54,0.00,11.90,0.00,3.39
2010,34,Formosa,5.38,9.76,0.00,0.00,0.00,2.38,0.00,3.39
2010,38,Jujuy,9.68,7.32,9.09,5.77,6.67,2.38,0.00,1.69
2010,42,La Pampa,0.00,2.44,9.09,0.00,0.00,0.00,0.00,0.00
2010,46,La Rioja,1.08,0.00,0.00,0.00,3.33,2.38,0.00,5.08
2010,50,Mendoza,0.00,2.44,0.00,1.92,3.33,2.38,0.00,11.86
2010,54,Misiones,5.38,7.32,9.09,3.85,10.00,7.14,0.00,15.25
2010,58,Neuquén,0.00,0.00,0.00,0.00,3.33,2.38,0.00,0.00
2010,62,Río Negro,0.00,2.44,0.00,0.00,0.00,2.38,0.00,0.00
2010,66,Salta,5.38,4.88,9.09,1.92,0.00,2.38,0.00,0.00
2010,70,San Juan,4.30,0.00,9.09,0.00,0.00,0.00,0.00,6.78
2010,74,San Luis,4.30,2.44,0.00,0.00,3.33,0.00,0.00,0.00
2010,78,Santa Cruz,0.00,0.00,0.00,0.00,6.67,0.00,0.00,0.00
2010,82,Santa Fe,6.45,0.00,0.00,13.46,6.67,7.14,0.00,3.39
2010,86,Santiago del Estero,1.08,0.00,0.00,5.77,3.33,4.76,0.00,0.00
2010,90,Tucumán,6.45,4.88,0.00,5.77,6.67,7.14,0.00,3.39
2010,94,Tierra del Fuego,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2009,02,Ciud. Aut. de  Buenos Aires,1.35,0.00,9.09,5.13,13.33,8.89,50.00,3.85
2009,06,Buenos Aires,31.08,35.71,9.09,33.33,40.00,24.44,50.00,34.62
2009,10,Catamarca,4.05,2.38,9.09,0.00,0.00,0.00,0.00,0.00
2009,14,Córdoba,4.05,0.00,0.00,2.56,0.00,2.22,0.00,3.85
2009,18,Corrientes,0.00,0.00,27.27,0.00,20.00,0.00,0.00,3.85
2009,22,Chaco,0.00,7.14,0.00,15.38,0.00,4.44,0.00,1.28
2009,26,Chubut,1.35,2.38,0.00,0.00,0.00,0.00,0.00,0.00
2009,30,Entre Ríos,2.70,4.76,0.00,0.00,0.00,2.22,0.00,2.56
2009,34,Formosa,6.76,7.14,9.09,0.00,6.67,8.89,0.00,1.28
2009,38,Jujuy,2.70,2.38,0.00,0.00,0.00,0.00,0.00,3.85
2009,42,La Pampa,0.00,0.00,0.00,0.00,0.00,2.22,0.00,6.41
2009,46,La Rioja,4.05,0.00,0.00,2.56,0.00,4.44,0.00,2.56
2009,50,Mendoza,4.05,2.38,0.00,0.00,0.00,2.22,0.00,10.26
2009,54,Misiones,4.05,7.14,0.00,0.00,0.00,6.67,0.00,11.54
2009,58,Neuquén,2.70,2.38,0.00,2.56,0.00,4.44,0.00,0.00
2009,62,Río Negro,1.35,0.00,0.00,5.13,0.00,0.00,0.00,1.28
2009,66,Salta,9.46,0.00,0.00,10.26,0.00,4.44,0.00,6.41
2009,70,San Juan,5.41,0.00,9.09,5.13,0.00,2.22,0.00,2.56
2009,74,San Luis,1.35,2.38,0.00,0.00,6.67,0.00,0.00,1.28
2009,78,Santa Cruz,1.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2009,82,Santa Fe,1.35,16.67,27.27,2.56,0.00,6.67,0.00,1.28
2009,86,Santiago del Estero,4.05,2.38,0.00,5.13,0.00,2.22,0.00,0.00
2009,90,Tucumán,5.41,4.76,0.00,10.26,13.33,13.33,0.00,1.28
2009,94,Tierra del Fuego,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2009,,Lugar no especificado,1.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2008,02,Ciud. Aut. de  Buenos Aires,1.61,0.00,0.00,1.72,0.00,5.13,0.00,0.00
2008,06,Buenos Aires,37.10,28.89,16.67,43.10,23.81,25.64,0.00,20.69
2008,10,Catamarca,0.00,0.00,0.00,1.72,0.00,2.56,0.00,1.72
2008,14,Córdoba,3.23,4.44,25.00,10.34,9.52,2.56,0.00,6.90
2008,18,Corrientes,0.00,11.11,0.00,6.90,4.76,2.56,0.00,1.72
2008,22,Chaco,11.29,8.89,0.00,3.45,0.00,2.56,0.00,6.90
2008,26,Chubut,1.61,0.00,0.00,1.72,4.76,0.00,0.00,3.45
2008,30,Entre Ríos,6.45,0.00,0.00,0.00,9.52,7.69,0.00,0.00
2008,34,Formosa,3.23,2.22,16.67,5.17,0.00,10.26,0.00,3.45
2008,38,Jujuy,4.84,8.89,8.33,1.72,9.52,0.00,0.00,3.45
2008,42,La Pampa,1.61,0.00,0.00,0.00,0.00,2.56,0.00,3.45
2008,46,La Rioja,0.00,0.00,0.00,1.72,0.00,0.00,0.00,3.45
2008,50,Mendoza,3.23,0.00,0.00,0.00,4.76,2.56,0.00,8.62
2008,54,Misiones,9.68,6.67,8.33,0.00,4.76,0.00,0.00,13.79
2008,58,Neuquén,0.00,0.00,0.00,0.00,4.76,2.56,0.00,1.72
2008,62,Rpio Negro,0.00,4.44,0.00,0.00,0.00,0.00,0.00,1.72
2008,66,Salta,0.00,8.89,0.00,3.45,4.76,12.82,100.00,5.17
2008,70,San Juan,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.72
2008,74,San Luis,0.00,2.22,8.33,0.00,0.00,0.00,0.00,0.00
2008,78,Santa Cruz,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.72
2008,82,Santa Fe,3.23,4.44,8.33,8.62,9.52,5.13,0.00,6.90
2008,86,Santiago del Estero,8.06,6.67,8.33,5.17,4.76,2.56,0.00,0.00
2008,90,Tucumán,4.84,2.22,0.00,5.17,4.76,5.13,0.00,3.45
2008,94,Tierra del Fuego,0.00,0.00,0.00,0.00,0.00,2.56,0.00,0.00
2008,,Lugar no especificado,0.00,0.00,0.00,0.00,0.00,2.56,0.00,0.00
2008,,Otros paises,0.00,0.00,0.00,0.00,0.00,2.56,0.00,0.00
2007,02,Ciud. Aut. de  Buenos Aires,1.35,0.00,9.09,5.13,13.33,8.89,50.00,3.85
2007,06,Buenos Aires,31.08,35.71,9.09,33.33,40.00,24.44,50.00,34.62
2007,10,Catamarca,4.05,2.38,9.09,0.00,0.00,0.00,0.00,0.00
2007,14,Córdoba,4.05,0.00,0.00,2.56,0.00,2.22,0.00,3.85
2007,18,Corrientes,0.00,0.00,27.27,0.00,20.00,0.00,0.00,3.85
2007,22,Chaco,0.00,7.14,0.00,15.38,0.00,4.44,0.00,1.28
2007,26,Chubut,1.35,2.38,0.00,0.00,0.00,0.00,0.00,0.00
2007,30,Entre Ríos,2.70,4.76,0.00,0.00,0.00,2.22,0.00,2.56
2007,34,Formosa,6.76,7.14,9.09,0.00,6.67,8.89,0.00,1.28
2007,38,Jujuy,2.70,2.38,0.00,0.00,0.00,0.00,0.00,3.85
2007,42,La Pampa,0.00,0.00,0.00,0.00,0.00,2.22,0.00,6.41
2007,46,La Rioja,4.05,0.00,0.00,2.56,0.00,4.44,0.00,2.56
2007,50,Mendoza,4.05,2.38,0.00,0.00,0.00,2.22,0.00,10.26
2007,54,Misiones,4.05,7.14,0.00,0.00,0.00,6.67,0.00,11.54
2007,58,Neuquén,2.70,2.38,0.00,2.56,0.00,4.44,0.00,0.00
2007,62,Río Negro,1.35,0.00,0.00,5.13,0.00,0.00,0.00,1.28
2007,66,Salta,9.46,0.00,0.00,10.26,0.00,4.44,0.00,6.41
2007,70,San Juan,5.41,0.00,9.09,5.13,0.00,2.22,0.00,2.56
2007,74,San Luis,1.35,2.38,0.00,0.00,6.67,0.00,0.00,1.28
2007,78,Santa Cruz,1.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2007,82,Santa Fe,1.35,16.67,27.27,2.56,0.00,6.67,0.00,1.28
2007,86,Santiago del Estero,4.05,2.38,0.00,5.13,0.00,2.22,0.00,0.00
2007,90,Tucumán,5.41,4.76,0.00,10.26,13.33,13.33,0.00,1.28
2007,94,Tierra del Fuego,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2007,,Lugar no especificado,1.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2006,02,Ciud. Aut. de  Buenos Aires,1.08,2.44,9.09,1.92,0.00,0.00,40.00,3.39
2006,06,Buenos Aires,32.26,39.02,36.36,36.54,23.33,23.81,60.00,16.95
2006,10,Catamarca,1.08,2.44,0.00,0.00,3.33,0.00,0.00,0.00
2006,14,Córdoba,6.45,0.00,0.00,1.92,3.33,2.38,0.00,10.17
2006,18,Corrientes,1.08,0.00,0.00,1.92,6.67,4.76,0.00,5.08
2006,22,Chaco,6.45,9.76,9.09,7.69,6.67,11.90,0.00,6.78
2006,26,Chubut,1.08,2.44,0.00,0.00,3.33,2.38,0.00,3.39
2006,30,Entre Ríos,1.08,0.00,0.00,11.54,0.00,11.90,0.00,3.39
2006,34,Formosa,5.38,9.76,0.00,0.00,0.00,2.38,0.00,3.39
2006,38,Jujuy,9.68,7.32,9.09,5.77,6.67,2.38,0.00,1.69
2006,42,La Pampa,0.00,2.44,9.09,0.00,0.00,0.00,0.00,0.00
2006,46,La Rioja,1.08,0.00,0.00,0.00,3.33,2.38,0.00,5.08
2006,50,Mendoza,0.00,2.44,0.00,1.92,3.33,2.38,0.00,11.86
2006,54,Misiones,5.38,7.32,9.09,3.85,10.00,7.14,0.00,15.25
2006,58,Neuquén,0.00,0.00,0.00,0.00,3.33,2.38,0.00,0.00
2006,62,Río Negro,0.00,2.44,0.00,0.00,0.00,2.38,0.00,0.00
2006,66,Salta,5.38,4.88,9.09,1.92,0.00,2.38,0.00,0.00
2006,70,San Juan,4.30,0.00,9.09,0.00,0.00,0.00,0.00,6.78
2006,74,San Luis,4.30,2.44,0.00,0.00,3.33,0.00,0.00,0.00
2006,78,Santa Cruz,0.00,0.00,0.00,0.00,6.67,0.00,0.00,0.00
2006,82,Santa Fe,6.45,0.00,0.00,13.46,6.67,7.14,0.00,3.39
2006,86,Santiago del Estero,1.08,0.00,0.00,5.77,3.33,4.76,0.00,0.00
2006,90,Tucumán,6.45,4.88,0.00,5.77,6.67,7.14,0.00,3.39
2006,94,Tierra del Fuego,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2006,,total,1.36,	0.59,	0.16,	0.75,	0.43,	0.6,	0.07,	0.85
2010,,total,0.9,	0.49,	0.12,	0.69,	0.44,	0.48,	0.03,	1.24
2007,,total,1.06,	0.6,	0.16,	0.56,	0.21,	0.64,	0.03,	1.11,
2008,,total,0.83,	0.6,	0.16,	0.78,	0.28,	0.52,	0.01,	0.78
2009,,total,1.17,	0.52,	0.12,	0.7,	0.23,	0.64,	0.01,	2.11